store_id,transaction_id,timestamp,basket_value_inr
ST1008,TXN_ML0426KAP0001324,2026-04-10T12:42:18Z,8500.00
ST1008,TXN_ML0426KAP0001321,2026-04-10T12:15:05Z,1200.00
ST1008,TXN_ML0426KAP0001333,2026-04-10T13:41:55Z,500.00
ST1008,TXN_ML0426KAP0001336,2026-04-10T13:55:16Z,400.00
ST1008,TXN_ML0426KAP0001337,2026-04-10T14:23:21Z,225.00
ST1008,TXN_ML0426KAP0001340,2026-04-10T15:02:20Z,1200.00
ST1008,TXN_ML0426KAP0001346,2026-04-10T15:46:39Z,599.00
ST1008,TXN_ML0426KAP0001347,2026-04-10T15:50:44Z,800.00
ST1008,TXN_ML0426KAP0001348,2026-04-10T16:08:03Z,799.00
ST1008,TXN_ML0426KAP0001353,2026-04-10T16:45:32Z,3200.00
ST1008,TXN_ML0426KAP0001358,2026-04-10T16:55:36Z,2800.00
ST1008,TXN_ML0426KAP0001366,2026-04-10T17:44:44Z,299.00
ST1008,TXN_ML0426KAP0001369,2026-04-10T17:55:02Z,2100.00
ST1008,TXN_ML0426KAP0001372,2026-04-10T18:00:18Z,149.00
ST1008,TXN_ML0426KAP0001374,2026-04-10T18:07:14Z,1200.00
ST1008,TXN_ML0426KAP0001384,2026-04-10T18:41:51Z,2600.00
ST1008,TXN_ML0426KAP0001393,2026-04-10T19:02:09Z,3500.00
ST1008,TXN_ML0426KAP0001399,2026-04-10T19:21:55Z,4500.00
ST1008,TXN_ML0426KAP0001401,2026-04-10T19:33:52Z,1100.00
ST1008,TXN_ML0426KAP0001403,2026-04-10T19:41:29Z,2200.00
ST1008,TXN_ML0426KAP0001408,2026-04-10T19:54:02Z,1800.00
ST1008,TXN_ML0426KAP0001418,2026-04-10T20:25:04Z,1500.00
ST1008,TXN_ML0426KAP0001438,2026-04-10T21:16:15Z,299.00
ST1008,TXN_ML0426KAP0001443,2026-04-10T21:39:55Z,475.00
